Rank in 2020,Rank in 2019,Rank in 2018,3 year average rank,School name,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International mobility rank,International course experience rank,Languages,Faculty with doctorates (%),FT research rank,CSR rank,,Value statement,No. of words,Clear,Realistic,Shorter,Easy to communicate,Easy to memorize,Easy to be explained,Focused,Unique,Decision Making guidance,Challenging,Mission Statements,,Customers,Products and Services,Markets,Technology,"Survival,  growth,  and profitability",Philosophy,Self-concept,Concern for public image,Concern for employees,Broad in scope,Less than 100 words in length,Less than 250 words in length,Inspiring,Socially responsible,Environmentally responsible,Reconciliatory,Enduring,Core values,No. of words,web source,
1,2,5,3,Harvard Business School,US,2018,"208,023","210,110",110,78,8,91,18,88 (100),1,29,43,49,38,37,18,50,89,0,90,2,37,,"Our vision is to be the leading centre for research,  innovation and impact in the area of corporate governance globally.",19,Y,Y,Y,N,Y,Y,Y,N,Y,Y,to educate leaders who make a difference in the world,10,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,"Respect,  Honesty,  Accountability",3,https://www.hbs.edu/about/Pages/mission.aspx,
2,4,3,3,University of Pennsylvania: Wharton,US,2018,"217,141","211,543",107,92,17,90,21,94 (95),6,25,46,21,39,32,47,42,50,0,100,1,58,,To be your best-in-class education partner for transformational learning that prepares today’s global business leaders and organizations for greater impact and long-term success.,23,Y,Y,N,Y,N,N,Y,N,Y,Y,To be your best-in-class education partner for transformational learning that prepares today’s global business leaders and organizations for greater impact and long-term success.,23,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Tradition,  teamwork and collaboration,   professionalism,  excellence,  integrity,  and diversity ",9,https://executiveeducation.wharton.upenn.edu/about-wharton/,
3,1,1,2,Stanford Graduate School of Business,US,2015,"225,589","222,625",117,69,1,90,31,88 (99),2,23,47,31,37,43,30,45,46,0,86,10,67,,We envision a world where all learners are prepared to thrive in a dynamic future.,15,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"to create ideas that deepen and advance our understanding of management and with those ideas to develop innovative,  principled,  and insightful leaders who change the world.",26,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"integrity,  diversity,  respect,  freedom of inquiry and expression,  tenacity and optimism.",11,https://www.gsb.stanford.edu/experience/about,
4,3,2,3,Insead,France / Singapore,2020,"182,606","181,277",101,8,27,90,34,84 (97),4,20,34,38,93,96,88,5,2,2,98,18,6,,"A more peaceful society,  prosperous world and sustainable future. ",9,Y,Y,Y,Y,Y,Y,N,N,N,N,"We bring together people,  cultures and ideas to develop responsible leaders who transform business and society",16,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,"Diversity,  Independence,  Rigour and relevance,  Closeness,  Entrepreneurial spirit",8,https://www.insead.edu/about/who-we-are,
5,5,8,6,Ceibs,China,2019,"184,731","185,103",187,39,11,87,59,94 (100),34,27,40,36,63,34,57,36,9,1,100,75,27,,"To become the most respected international business school by linking East and West in teaching,  research,  and business practice and by promoting China's social and economic development through high-impact knowledge creation and dissemination.",33,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"To educate responsible leaders versed in ""China Depth,  Global Breadth"".",9,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,"Conscientiousness,  Innovation and Excellence.",4,"https://www.ceibs.edu/introduction-ceibs#:~:text=Vision%20and%20Mission&text=The%20CEIBS%20Vision%3A%20To%20become, impact%20knowledge%20creation%20and%20dissemination.",
6,8,9,8,MIT: Sloan,US,2019,"195,300","197,177",119,84,23,91,46,94 (100),3,24,41,21,43,53,48,46,45,0,100,8,25,,,0,,,,,,,,,,,"To develop principled,  innovative leaders who improve the world and to generate ideas that advance management practice.",17,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,"Collaboration,  a deep commitment to supporting others,  striving for impact",10,"Link for mission: https://mitsloan.mit.edu/about/why-mit-sloan#:~:text=The%20mission%20of%20the%20MIT, ideas%20that%20advance%20management%20practice. Link for core valuses: https://mitsloan.mit.edu/programs/mba/putting-sloan-values-practice#:~:text=%22Collaboration%2C%20a%20deep%20commitment%20to, values%20our%20Sloan%20community%20cherishes.%22",
7,6,4,6,London Business School,UK,2020,"171,518","171,492",105,96,22,90,37,92 (99),5,27,38,45,84,94,76,9,8,0,99,11,13,,To have a profound impact on the way the world does business.,12,Y,Y,Y,Y,Y,Y,Y,N,N,N,,0,,,,,,,,,,,,,,,,,,,0,Vision Link: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/693167/London_Business_School.pdf ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/693167/London_Business_School.pdf
8,9,7,8,Columbia Business School,US,2019,"203,147","202,238",115,86,25,91,26,90 (93),7,21,38,17,54,53,35,48,66,0,95,5,49,,Developing ideas and leaders that transform the world—from the very center of business.,13,Y,Y,Y,Y,Y,Y,Y,N,N,N,"Our mission is twofold: we are committed to educating and developing leaders and builders of enterprises who create value for their stakeholders and society at large; we accomplish this through our MBA,  MS,  PhD,  and Executive Education programs. We are equally committed to developing new scholars and teachers,  and to creating and disseminating pathbreaking knowledge,  concepts,  and tools which advance the understanding and practice of management; we accomplish this through our faculty research and PhD programs.",76,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,"To achieve our vision of developing innovative ideas and inspiring leaders that transform the world,  the members of CBS strive to build and sustain a welcoming and intellectual community that values and respects individuals’ different and shared identities and perspectives.",40,https://www8.gsb.columbia.edu/about-us/mission-statement,
9,19,21,16,HEC Paris,France,2019,"164,515","164,529",133,11,18,87,87,92 (93),18,20,31,42,70,95,83,7,15,2,100,21,42,,,0,,,,,,,,,,,"At HEC Paris,  we have always embraced the idea that you must “Learn to Dare” in order to achieve. Our faculty engages in cutting-edge research into the management,  role and impact of organizations and markets. By daring to challenge orthodoxy,  our scholars examine the responsibility of business in society and for society. ",52,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Excellence,  diversity and community.",4,https://www.hec.edu/en/overview/who-we-are/mission-values,
10,7,6,8,University of Chicago: Booth,US,2017,"197,089","191,679",123,82,52,91,7,95 (99),9,18,40,15,32,42,18,43,87,0,96,3,39,,,0,,,,,,,,,,,"At Booth,  our mission is to create knowledge with enduring impact,  and influence and educate current and future leaders. Leaders like you.

",22,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,0,"https://www.chicagobooth.edu/why-booth#:~:text=At%20Booth%2C%20our%20mission%20is, talents%20into%20a%20meaningful%20impact.",
